n=6
s=0 t=5

0 	0.333 	0.667 	0 	0 	-0 	
0.333 	0 	0.667 	0.667 	0 	0.333 	
0.667 	0.667 	0 	0.667 	0 	0 	
0 	0.667 	0.667 	0 	2 	0.667 	
0 	0 	0 	2 	0 	0 	
-0 	0.333 	0 	0.667 	0 	0 	

0 	0 	0 	0.333 	0.667 	0 	
0 	0 	0.667 	0.667 	0.667 	0 	
0 	0.667 	0 	0.333 	0 	1 	
0.333 	0.667 	0.333 	0 	0.667 	0 	
0.667 	0.667 	0 	0.667 	0 	0 	
0 	0 	1 	0 	0 	0 	

0 	0.333 	0.667 	0 	0 	-0 	
0.333 	0 	0.667 	1 	0 	0 	
0.667 	0.667 	0 	0 	0.333 	0.333 	
0 	1 	0 	0 	1 	0 	
0 	0 	0.333 	1 	0 	0.667 	
-0 	0 	0.333 	0 	0.667 	0 	

0 	0.333 	0 	0 	0.667 	-0 	
0.333 	0 	0.667 	0.667 	0 	0.333 	
0 	0.667 	0 	0.333 	0.333 	0.667 	
0 	0.667 	0.333 	0 	1 	0 	
0.667 	0 	0.333 	1 	0 	0 	
-0 	0.333 	0.667 	0 	0 	0 	

0 	1.67 	0 	0.667 	0 	0 	
1.67 	0 	0.333 	0 	0 	0 	
0 	0.333 	0 	0.667 	1 	0 	
0.667 	0 	0.667 	0 	0 	0.667 	
0 	0 	1 	0 	0 	1 	
0 	0 	0 	0.667 	1 	0 	

0 	0 	0 	0 	1 	-0 	
0 	0 	1 	0.333 	0.667 	0 	
0 	1 	0 	0.667 	0 	0.333 	
0 	0.333 	0.667 	0 	0.333 	0.667 	
1 	0.667 	0 	0.333 	0 	0 	
-0 	0 	0.333 	0.667 	0 	0 	

0 	0 	0.667 	0 	0.333 	-0 	
0 	0 	0.667 	0.667 	0.333 	0.333 	
0.667 	0.667 	0 	0.667 	0 	0 	
0 	0.667 	0.667 	0 	0.667 	0 	
0.333 	0.333 	0 	0.667 	0 	0.667 	
-0 	0.333 	0 	0 	0.667 	0 	

0 	0 	0.333 	0.667 	2 	-0 	
0 	0 	0.667 	0.667 	0 	0.667 	
0.333 	0.667 	0 	0.667 	0 	0.333 	
0.667 	0.667 	0.667 	0 	0 	0 	
2 	0 	0 	0 	0 	0 	
-0 	0.667 	0.333 	0 	0 	0 	

0 	0 	0.333 	0.667 	0 	0 	
0 	0 	1 	0 	0.333 	0.667 	
0.333 	1 	0 	0 	0.667 	0 	
0.667 	0 	0 	0 	1 	0.333 	
0 	0.333 	0.667 	1 	0 	0 	
0 	0.667 	0 	0.333 	0 	0 	

0 	0 	0.667 	0.333 	0 	-0 	
0 	0 	0.667 	1 	0 	0.333 	
0.667 	0.667 	0 	0 	0.667 	0 	
0.333 	1 	0 	0 	0.667 	0 	
0 	0 	0.667 	0.667 	0 	0.667 	
-0 	0.333 	0 	0 	0.667 	0 	

0 	0.5 	0.5 	0 	0 	-0 	
0.5 	0 	0 	0.75 	0.75 	0 	
0.5 	0 	0 	1 	0.5 	0 	
0 	0.75 	1 	0 	0 	0.25 	
0 	0.75 	0.5 	0 	0 	0.75 	
-0 	0 	0 	0.25 	0.75 	0 	

0 	0.333 	0.667 	0 	0 	-0 	
0.333 	0 	0 	1.67 	0 	0 	
0.667 	0 	0 	0.667 	0 	0.667 	
0 	1.67 	0.667 	0 	1 	0 	
0 	0 	0 	1 	0 	1 	
-0 	0 	0.667 	0 	1 	0 	

0 	0.333 	0 	0.667 	0 	0 	
0.333 	0 	1 	0.667 	0 	0 	
0 	1 	0 	0 	0.667 	0.333 	
0.667 	0.667 	0 	0 	0.667 	0 	
0 	0 	0.667 	0.667 	0 	0.667 	
0 	0 	0.333 	0 	0.667 	0 	

0 	0 	0.667 	0 	0.333 	0 	
0 	0 	0 	1 	0.667 	0.333 	
0.667 	0 	0 	1 	0.333 	0 	
0 	1 	1 	0 	0 	0 	
0.333 	0.667 	0.333 	0 	0 	0.667 	
0 	0.333 	0 	0 	0.667 	0 	

0 	0 	0.333 	0.667 	0 	-0 	
0 	0 	0.667 	0.667 	0 	0.667 	
0.333 	0.667 	0 	0.667 	0 	0.333 	
0.667 	0.667 	0.667 	0 	0 	0 	
0 	0 	0 	0 	0 	2 	
-0 	0.667 	0.333 	0 	2 	0 	

0 	0.4 	0.8 	0 	1.8 	-0 	
0.4 	0 	0.8 	0.8 	0 	0 	
0.8 	0.8 	0 	0.4 	0 	0 	
0 	0.8 	0.4 	0 	0 	0.8 	
1.8 	0 	0 	0 	0 	0.2 	
-0 	0 	0 	0.8 	0.2 	0 	

0 	0 	0.667 	0.333 	0 	-0 	
0 	0 	0.667 	0.667 	0 	0.667 	
0.667 	0.667 	0 	0.667 	0 	0 	
0.333 	0.667 	0.667 	0 	2 	0.333 	
0 	0 	0 	2 	0 	0 	
-0 	0.667 	0 	0.333 	0 	0 	

0 	0.667 	0.333 	0 	0 	-0 	
0.667 	0 	0.333 	1 	0 	0 	
0.333 	0.333 	0 	0.667 	0.667 	0 	
